icd_code,diagnosis_group,expected_diagnostics,conditional_diagnostics,unnecessary_diagnostics,max_diagnostic_count,clinical_pathway_source,notes
D64,other_anemias,cbc;reticulocyte_count;iron_studies;peripheral_blood_smear;renal_function,vitamin_B12(if_macrocytic);folate(if_macrocytic);haptoglobin_LDH(if_hemolytic_suspected);direct_coombs_test(if_autoimmune_suspected);bone_marrow_biopsy(if_pancytopenia_or_unexplained);epo_level(if_CKD_related),colonoscopy(if_no_GI_symptoms);thyroid_function(if_no_thyroid_symptoms);mri_brain;tumor_markers;chest_xray(if_no_respiratory_symptoms),8,general,Classify by MCV (micro/normo/macrocytic) then investigate cause systematically
D69,purpura_and_thrombocytopenia,cbc;peripheral_blood_smear;coagulation_panel;renal_function;liver_function_test,bone_marrow_biopsy(if_unexplained_persistent);hiv_test(if_unknown_status);hepatitis_panel(if_secondary_cause);anti_platelet_antibodies(if_ITP_suspected);d_dimer(if_DIC_suspected);haptoglobin_LDH(if_TTP_HUS_suspected),mri_brain(if_no_neurological_symptoms);colonoscopy;thyroid_function;tumor_markers;chest_xray(if_no_respiratory_symptoms),8,general,Differentiate ITP from secondary causes; peripheral smear critical for TTP/HUS
E03,hypothyroidism,thyroid_function_TSH_freeT4;lipid_profile;cbc,anti_TPO_antibodies(if_autoimmune_suspected);thyroid_ultrasound(if_goiter_or_nodule);renal_function(if_myxedema);ecg(if_bradycardia);creatine_kinase(if_myopathy),ct_abdomen;colonoscopy;tumor_markers;mri_brain;cardiac_enzymes;chest_xray(if_no_respiratory_symptoms),6,general,TSH most sensitive screening test; levothyroxine titrate to TSH target
E05,hyperthyroidism,thyroid_function_TSH_freeT4_freeT3;cbc;liver_function_test,TSH_receptor_antibodies(if_Graves_suspected);thyroid_ultrasound(if_nodular_disease);radioactive_iodine_uptake(if_etiology_uncertain);ecg(if_palpitations_or_AF);echocardiogram(if_heart_failure_suspected);anti_TPO(if_autoimmune),ct_abdomen;colonoscopy;tumor_markers;mri_brain;chest_xray(if_no_respiratory_symptoms),8,general,Determine cause (Graves vs toxic nodule vs thyroiditis); beta-blocker for symptom control
E16,other_disorders_of_pancreatic_internal_secretion,fasting_blood_glucose;fasting_insulin;c_peptide;cbc;liver_function_test,72_hour_fast(if_insulinoma_suspected);ct_abdomen(if_pancreatic_mass);endoscopic_ultrasound(if_localization);calcium(if_MEN_screening);cortisol(if_adrenal_assessment),mri_brain(if_no_neurological_symptoms);colonoscopy;thyroid_function;chest_xray;cardiac_enzymes,8,general,Whipple triad for hypoglycemia diagnosis; localization imaging if biochemically confirmed
E21,hyperparathyroidism,calcium;pth;phosphate;renal_function;vitamin_D;urinary_calcium,bone_density(if_osteoporosis_assessment);renal_ultrasound(if_nephrolithiasis);sestamibi_scan(if_surgical_planning);neck_ultrasound(if_adenoma_localization);24h_urine_calcium(if_FHH_differential),mri_brain;colonoscopy;tumor_markers;chest_xray(if_no_respiratory_symptoms);cardiac_enzymes,8,general,Differentiate primary from secondary; surgical criteria by updated guidelines
E22,hyperfunction_of_pituitary,prolactin;IGF1;cortisol;thyroid_function;LH_FSH;testosterone_or_estradiol;mri_pituitary,ACTH(if_Cushing_suspected);dexamethasone_suppression_test(if_Cushing);oral_glucose_tolerance_test(if_acromegaly);visual_field_test(if_macroadenoma);growth_hormone(if_acromegaly),colonoscopy;tumor_markers;chest_xray(if_no_respiratory_symptoms);abdominal_ultrasound;echocardiogram,10,general,MRI pituitary essential; hormone excess determines clinical syndrome
E27,disorders_of_adrenal_gland,cortisol_morning;ACTH;electrolytes;blood_glucose;renal_function,24h_urine_cortisol(if_Cushing);dexamethasone_suppression_test(if_Cushing);ACTH_stimulation_test(if_adrenal_insufficiency);aldosterone_renin_ratio(if_Conn);plasma_metanephrines(if_pheo_suspected);ct_adrenal(if_mass_or_hyperfunction),mri_brain(if_no_pituitary_symptoms);colonoscopy;thyroid_function;tumor_markers;chest_xray,10,general,Distinguish hyper vs hypofunction; cortisol timing critical for diagnosis
E66,obesity,fasting_blood_glucose;hba1c;lipid_profile;liver_function_test;thyroid_function;renal_function,insulin_level(if_insulin_resistance);cortisol(if_Cushing_suspected);sleep_study(if_OSA_symptoms);echocardiogram(if_heart_failure);uric_acid(if_gout_risk);polycystic_ovary_screening(if_female_with_irregular_menses),mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;chest_xray(if_no_respiratory_symptoms),8,general,Screen for metabolic syndrome components; BMI and waist circumference for classification
E86,volume_depletion,electrolytes;renal_function;cbc;blood_glucose;urinalysis,blood_gas(if_acid_base_assessment);lactate(if_perfusion_status);cortisol(if_adrenal_crisis_suspected);calcium(if_hypercalcemia_cause);osmolality(if_diabetes_insipidus),mri_brain;colonoscopy;thyroid_function;tumor_markers;cardiac_enzymes;chest_xray(if_no_respiratory_symptoms),6,general,Assess degree of dehydration; correct underlying cause; monitor electrolytes during repletion
E87,other_disorders_of_fluid_electrolyte_acid_base,electrolytes;renal_function;blood_gas;blood_glucose;calcium;magnesium;phosphate,osmolality_serum_urine(if_hyponatremia);cortisol(if_adrenal_cause);thyroid_function(if_hyponatremia);chest_xray(if_SIADH_cause);urine_electrolytes(if_renal_vs_extrarenal_loss),mri_brain(if_no_neurological_symptoms);colonoscopy;tumor_markers;cardiac_enzymes;abdominal_ultrasound,8,general,Classify by type of disorder; correction rate critical for sodium disorders
F10,alcohol_use_disorders,liver_function_test;cbc;ggt;coagulation_panel;renal_function;electrolytes;blood_glucose,hepatitis_panel(if_liver_disease);abdominal_ultrasound(if_liver_assessment);lipase_amylase(if_pancreatitis);vitamin_B1_thiamine(if_Wernicke_suspected);magnesium(if_withdrawal);blood_alcohol_level(if_acute_intoxication),mri_brain(if_no_neurological_symptoms);colonoscopy;tumor_markers;cardiac_enzymes;thyroid_function(if_no_thyroid_symptoms),8,general,CAGE or AUDIT screening; assess for withdrawal risk; thiamine before glucose
F20,schizophrenia,cbc;liver_function_test;renal_function;fasting_blood_glucose;lipid_profile;thyroid_function,ecg(if_antipsychotic_QTc_monitoring);prolactin(if_antipsychotic_side_effects);urine_drug_screen(if_substance_use_suspected);mri_brain(if_first_episode_or_atypical);eeg(if_seizure_differential),colonoscopy;tumor_markers;cardiac_enzymes;chest_xray(if_no_respiratory_symptoms);abdominal_ultrasound,8,general,Baseline metabolic panel before antipsychotics; monitor metabolic syndrome annually
F31,bipolar_disorder,cbc;liver_function_test;renal_function;thyroid_function;fasting_blood_glucose;lipid_profile;electrolytes,ecg(if_lithium_or_antipsychotic);lithium_level(if_on_lithium);valproate_level(if_on_valproate);urine_drug_screen(if_substance_use_suspected);pregnancy_test(if_female_reproductive_age),mri_brain(if_no_neurological_symptoms);colonoscopy;tumor_markers;cardiac_enzymes;chest_xray(if_no_respiratory_symptoms),8,general,Baseline labs before mood stabilizers; lithium requires regular renal and thyroid monitoring
F32,depressive_episode,cbc;thyroid_function;renal_function;liver_function_test;fasting_blood_glucose,vitamin_B12(if_elderly);folate(if_elderly);cortisol(if_Cushing_or_Addison_suspected);urine_drug_screen(if_substance_use_suspected);ecg(if_TCA_planned),mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;chest_xray(if_no_respiratory_symptoms);abdominal_ultrasound,6,general,Rule out organic causes of depression; thyroid dysfunction common secondary cause
F33,recurrent_depressive_disorder,cbc;thyroid_function;renal_function;liver_function_test;fasting_blood_glucose,vitamin_B12(if_elderly);folate(if_elderly);ecg(if_TCA_or_antipsychotic);lipid_profile(if_metabolic_monitoring);bone_density(if_long_term_SSRI),mri_brain(if_no_neurological_symptoms);colonoscopy;tumor_markers;cardiac_enzymes;chest_xray(if_no_respiratory_symptoms),6,general,Monitor for treatment-emergent side effects; periodic thyroid and metabolic screening
F40,phobic_anxiety_disorders,cbc;thyroid_function,ecg(if_palpitations_or_medication);fasting_blood_glucose(if_hypoglycemia_differential);urine_drug_screen(if_substance_use_suspected),mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;chest_xray;liver_function_test;renal_function;abdominal_ultrasound,3,general,Primarily clinical diagnosis; rule out medical causes of anxiety symptoms
F41,other_anxiety_disorders,cbc;thyroid_function;fasting_blood_glucose,ecg(if_palpitations);electrolytes(if_panic_attacks);cortisol(if_Cushing_differential);urine_drug_screen(if_substance_use_suspected);holter_monitor(if_cardiac_arrhythmia_differential),mri_brain;colonoscopy;tumor_markers;liver_function_test(if_no_hepatic_symptoms);chest_xray(if_no_respiratory_symptoms),5,general,Exclude hyperthyroidism and cardiac causes; GAD-7 for severity assessment
F43,reaction_to_severe_stress_and_adjustment,cbc;thyroid_function,cortisol(if_adrenal_assessment);urine_drug_screen(if_substance_use_suspected);ecg(if_somatic_symptoms),mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;liver_function_test;renal_function;chest_xray;abdominal_ultrasound,3,general,Primarily clinical diagnosis; screen for comorbid depression; limited lab workup
G20,parkinson_disease,none,mri_brain(if_atypical_features_or_differential);dat_scan(if_diagnostic_uncertainty);cbc(if_pre_medication);liver_function_test(if_COMT_inhibitor_planned);ecg(if_autonomic_symptoms);thyroid_function(if_tremor_differential),ct_abdomen;colonoscopy;tumor_markers;cardiac_enzymes;chest_xray(if_no_respiratory_symptoms);spirometry,5,general,Clinical diagnosis by motor features; imaging for atypical presentations only
G35,multiple_sclerosis,mri_brain_and_spine_with_contrast;cbc;esr;crp,lumbar_puncture_oligoclonal_bands(if_diagnostic_uncertainty);visual_evoked_potentials(if_optic_neuritis);aquaporin4_antibodies(if_NMO_differential);MOG_antibodies(if_differential);vitamin_B12(if_myelopathy_differential);liver_function_test(if_DMT_planned),ct_abdomen;colonoscopy;tumor_markers;cardiac_enzymes;thyroid_function(if_no_thyroid_symptoms),8,general,McDonald criteria for diagnosis; MRI with gadolinium; monitor for treatment response
G40,epilepsy,eeg;cbc;electrolytes;renal_function;liver_function_test;blood_glucose,mri_brain(if_new_onset_or_focal);antiepileptic_drug_levels(if_on_medication);prolactin(if_seizure_vs_pseudoseizure);video_eeg(if_surgical_candidacy);ct_brain(if_emergency_presentation),colonoscopy;tumor_markers;cardiac_enzymes;chest_xray(if_no_respiratory_symptoms);thyroid_function(if_no_thyroid_symptoms),8,general,EEG and MRI cornerstone; drug levels for monitoring; driving and safety counseling
G43,migraine,none,ct_brain(if_thunderclap_or_red_flags);mri_brain(if_atypical_or_new_neurological_signs);cbc(if_systemic_symptoms);esr_crp(if_temporal_arteritis_differential);lumbar_puncture(if_meningitis_differential),colonoscopy;tumor_markers;cardiac_enzymes;chest_xray;abdominal_ultrasound;thyroid_function;liver_function_test,3,general,Clinical diagnosis by ICHD criteria; imaging only for red flags or atypical features
G47,sleep_disorders,none,polysomnography(if_sleep_apnea_suspected);thyroid_function(if_fatigue_or_weight_changes);cbc(if_restless_legs_iron_deficiency);ferritin(if_restless_legs);eeg(if_narcolepsy_or_parasomnia);multiple_sleep_latency_test(if_narcolepsy),ct_abdomen;colonoscopy;tumor_markers;cardiac_enzymes;mri_brain;chest_xray(if_no_respiratory_symptoms),4,general,Sleep hygiene assessment first; polysomnography gold standard for OSA; Epworth Sleepiness Scale
G56,mononeuropathies_of_upper_limb,none,nerve_conduction_study(if_CTS_or_neuropathy);electromyography(if_severity_assessment);wrist_xray(if_structural_cause);mri_wrist(if_mass_or_anatomic_variant);cbc(if_systemic_disease);blood_glucose(if_diabetes_screening),ct_abdomen;colonoscopy;tumor_markers;cardiac_enzymes;chest_xray;mri_brain;thyroid_function,4,general,Carpal tunnel most common; NCS/EMG for confirmation and severity grading
G62,other_polyneuropathies,cbc;fasting_blood_glucose;hba1c;renal_function;liver_function_test;vitamin_B12;thyroid_function,nerve_conduction_study_EMG(if_characterization);folate(if_deficiency);hiv_test(if_risk_factors);serum_protein_electrophoresis(if_paraproteinemia);anti_ganglioside_antibodies(if_inflammatory);lumbar_puncture(if_GBS_suspected),ct_abdomen;colonoscopy;tumor_markers;cardiac_enzymes;chest_xray(if_no_respiratory_symptoms),8,general,Identify treatable causes (DM
H10,conjunctivitis,none,conjunctival_swab_culture(if_severe_or_neonatal);cbc(if_systemic_illness);chlamydia_test(if_neonatal_or_sexually_active);slit_lamp_exam(if_diagnostic_uncertainty),ct_orbit;mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;chest_xray;blood_culture,3,general,Usually clinical diagnosis; viral vs bacterial vs allergic differentiation guides treatment
H25,senile_cataract,visual_acuity;slit_lamp_exam;intraocular_pressure;fundoscopy,biometry(if_surgery_planned);cbc(if_pre_operative);fasting_blood_glucose(if_pre_operative);ecg(if_pre_operative);renal_function(if_pre_operative),ct_orbit;mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;chest_xray(if_no_pre_op),6,general,Pre-operative assessment if surgery planned; visual acuity determines surgical indication
H26,other_cataract,visual_acuity;slit_lamp_exam;intraocular_pressure;fundoscopy,fasting_blood_glucose(if_diabetic_cataract);calcium(if_metabolic_cataract);biometry(if_surgery_planned);cbc(if_pre_operative);renal_function(if_steroid_induced),ct_orbit;mri_brain;colonoscopy;tumor_markers;cardiac_enzymes,6,general,Identify underlying cause (diabetes
H40,glaucoma,intraocular_pressure;visual_field_test;fundoscopy;slit_lamp_exam;gonioscopy,optical_coherence_tomography(if_nerve_fiber_assessment);pachymetry(if_corneal_thickness);diurnal_IOP_curve(if_normal_tension_suspected);cbc(if_pre_operative_laser),ct_orbit;mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;chest_xray;blood_culture,6,general,IOP and visual field for monitoring; OCT for structural progression; target IOP individualized
H60,otitis_externa,otoscopy,ear_swab_culture(if_refractory_or_malignant);cbc(if_systemic_illness);blood_glucose(if_malignant_otitis_suspected);ct_temporal_bone(if_malignant_otitis);esr_crp(if_necrotizing),mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;chest_xray;thyroid_function;abdominal_ultrasound,3,general,Usually clinical diagnosis; culture if refractory; diabetics at risk for malignant otitis externa
H66,otitis_media,otoscopy;tympanometry,cbc(if_systemic_illness);hearing_test(if_recurrent);ct_temporal_bone(if_complications_suspected);blood_culture(if_sepsis);tympanocentesis(if_refractory),mri_brain;colonoscopy;tumor_markers;cardiac_enzymes;chest_xray(if_no_respiratory_symptoms);thyroid_function,4,general,Diagnosis by otoscopy; antibiotics if bilateral or severe; watchful waiting option in mild cases
I26,pulmonary_embolism,ct_pulmonary_angiography;d_dimer;cbc;coagulation_panel;troponin;bnp_or_nt_probnp;blood_gas;ecg;chest_xray,echocardiogram(if_massive_PE_or_hemodynamic_instability);lower_extremity_doppler(if_DVT_source);thrombophilia_screen(if_unprovoked_or_recurrent);v_q_scan(if_contrast_allergy_or_renal_impairment),colonoscopy;tumor_markers(if_no_malignancy_suspected);thyroid_function;mri_brain(if_no_neurological_symptoms);abdominal_ultrasound,10,general,Wells score for pre-test probability; CTPA gold standard; risk stratify for thrombolysis
I42,cardiomyopathy,echocardiogram;ecg;cbc;renal_function;liver_function_test;bnp_or_nt_probnp;chest_xray;thyroid_function,cardiac_mri(if_tissue_characterization);coronary_angiography(if_ischemic_cause);holter_monitor(if_arrhythmia);iron_studies_ferritin(if_hemochromatosis);genetic_testing(if_familial);endomyocardial_biopsy(if_infiltrative_suspected),colonoscopy;tumor_markers;ct_abdomen(if_no_abdominal_symptoms);mri_brain(if_no_neurological_symptoms),10,general,Classify as dilated/hypertrophic/restrictive; identify reversible causes; assess SCD risk
I70,atherosclerosis,lipid_profile;fasting_blood_glucose;hba1c;renal_function;ecg,ankle_brachial_index(if_peripheral_arterial_disease);carotid_doppler(if_cerebrovascular);ct_angiography(if_symptomatic);coronary_calcium_score(if_risk_stratification);duplex_ultrasound(if_lower_extremity),mri_brain(if_no_neurological_symptoms);colonoscopy;tumor_markers;thyroid_function(if_no_thyroid_symptoms);chest_xray(if_no_respiratory_symptoms),8,general,Cardiovascular risk assessment; modifiable risk factor management; statin therapy
I73,other_peripheral_vascular_diseases,ankle_brachial_index;duplex_ultrasound;cbc;renal_function;lipid_profile;fasting_blood_glucose,ct_angiography(if_intervention_planned);mri_angiography(if_contrast_allergy);segmental_pressure(if_level_localization);ecg(if_cardiovascular_comorbidity);hba1c(if_diabetic),mri_brain(if_no_neurological_symptoms);colonoscopy;tumor_markers;thyroid_function;chest_xray(if_no_respiratory_symptoms),8,general,ABI <0.9 diagnostic; supervised exercise program; revascularization if critical limb ischemia
I80,phlebitis_and_thrombophlebitis,duplex_ultrasound;d_dimer;cbc;coagulation_panel,ct_venography(if_iliac_or_IVC_thrombus);thrombophilia_screen(if_unprovoked_or_recurrent);tumor_markers(if_malignancy_screening);chest_xray(if_PE_symptoms);ct_pulmonary_angiography(if_PE_suspected),mri_brain;colonoscopy(if_no_malignancy_suspected);thyroid_function;cardiac_enzymes(if_no_cardiac_symptoms);abdominal_ultrasound(if_no_abdominal_symptoms),7,general,Wells score for DVT probability; duplex US first-line; assess PE risk
